,Lowest distortion,A,B,Radius A [ang],Radius B [ang],Formation energy [eV/atom],Stability [eV/atom],Volume per atom [A^3/atom],Band gap [eV],a [ang],Vacancy energy [eV/O atom],Stability (log[eV/atom]),Vacancy energy (log[eV/O atom]),Magnetic moment (^2[mu_B]),Valence B_1,Valence B_2,Valence B_3,Valence B_4,Valence B_5,Valence B_element not in BV,Valence B_not balanced
37,0,1,38,1.12,0.98,-3.029,0.571,18.259,1.828,4.503,4.679,-0.8084373492992444,2.226200228698224,0.0,0,0,0,0,0,1,0
38,1,1,39,1.12,0.59,-2.365,-0.077,11.833,0.0,5.505,1.575,,0.6553518286125541,0.04000000000000001,0,0,0,0,0,1,0
39,0,1,40,1.12,0.86,-3.018,0.512,18.186,0.0,4.497,4.396,-0.965784284662087,2.1361913862871442,0.6304360000000001,0,0,0,0,0,1,0
40,1,1,41,1.12,0.57,-2.146,0.167,13.292,0.0,5.463,2.322,-2.5820799921880346,1.2153679722034796,0.011881,0,0,0,0,0,1,0
41,0,1,42,1.12,0.91,-2.693,0.491,18.517,0.0,4.524,4.095,-1.026205070347394,2.0338634518662837,0.058080999999999994,0,0,0,0,0,1,0
42,1,1,43,1.12,0.99,-2.369,0.038,16.738,0.0,6.034,1.255,-4.717856771218502,0.32768736417604716,0.0,0,0,0,0,0,1,0
43,1,1,44,1.12,0.75,-2.171,-0.122,13.678,0.0,5.715,1.499,,0.5840003832857726,0.0,0,0,0,0,0,1,0
44,0,1,45,1.12,0.97,-3.111,0.518,17.814,2.014,4.466,4.845,-0.9489759969755331,2.2764966656403565,0.0,0,0,0,0,0,1,0
45,0,1,46,1.12,0.92,-2.953,0.625,18.704,1.649,4.539,4.449,-0.6780719051126376,2.1534810985136996,0.0,0,0,0,0,0,1,0
46,1,1,47,1.12,0.67,-2.101,0.037,14.009,0.0,5.811,1.204,-4.756330919033138,0.267835392097615,0.0,0,0,0,0,0,1,0
47,0,1,48,1.12,0.83,-3.005,0.602,17.512,0.0,4.441,3.324,-0.732164607902385,1.7329203821082575,0.8873639999999999,0,0,0,0,0,1,0
48,1,1,49,1.12,1.52,-1.914,0.444,20.923,0.599,5.98,-2.002,-1.171368418311981,,0.0,0,0,0,0,0,1,0
49,1,1,50,1.12,0.57,-2.286,0.273,13.361,0.0,5.556,2.924,-1.8730271437422346,1.5479433112903502,0.046224999999999995,0,0,0,0,0,1,0
50,1,1,51,1.12,0.61,-2.334,-0.077,13.23,0.604,5.635,1.899,,0.9252399054874105,0.0,0,0,0,0,0,1,0
51,1,1,52,1.12,0.62,-2.345,0.015,13.161,0.0,5.619,2.787,-6.058893689053568,1.4787130024417219,0.038809,0,0,0,0,0,1,0
52,1,1,53,1.12,0.68,-2.465,0.114,16.31,0.296,5.98,2.835,-3.1328942704973453,1.5033487351675041,0.0,0,0,0,0,0,1,0
53,1,1,54,1.12,0.75,-3.762,-0.068,13.854,4.099,5.782,6.193,,2.6306384460554395,0.0,0,0,0,0,0,1,0
54,3,1,55,1.12,0.4,-2.778,0.395,12.758,0.0,3.79,4.34,-1.3400754415976217,2.1176950426697547,0.0,0,0,0,0,0,1,0
55,1,1,56,1.12,0.96,-3.608,0.033,16.756,4.287,6.08,4.949,-4.921390165303634,2.307137042204916,0.0,0,0,0,0,0,1,0
56,1,1,57,1.12,0.69,-2.582,0.101,15.772,0.0,5.942,3.025,-3.3075728019102923,1.596935142387232,0.0,0,0,0,0,0,1,0
57,0,1,58,1.12,1.18,-2.247,0.78,17.587,0.0,4.447,-1.505,-0.3584539709124763,,3.6e-05,0,0,0,0,0,1,0
58,1,1,59,1.12,0.68,-2.945,0.159,13.765,0.0,5.615,4.844,-2.6529013293777317,2.276198865032242,0.0,0,0,0,0,0,1,0
59,1,1,60,1.12,0.84,-3.561,0.009,16.078,4.382,6.009,5.379,-6.795859283219775,2.427337988927444,0.0,0,0,0,0,0,1,0
60,1,1,61,1.12,0.6,-2.487,0.069,13.358,0.0,5.652,3.73,-3.857259827883918,1.8991756304805132,0.15760900000000003,0,0,0,0,0,1,0
61,0,1,62,1.12,0.77,-1.817,0.558,16.423,0.0,4.346,2.116,-0.8416629728328994,1.0813396274519387,1e-06,0,0,0,0,0,1,0
62,0,1,63,1.12,0.94,-3.113,0.622,19.466,0.0,4.6,3.724,-0.6850135145314845,1.8968530728967068,4e-06,0,0,0,0,0,1,0
63,1,1,64,1.12,0.71,-3.443,-0.092,12.8,0.0,5.647,5.944,,2.5714341158765093,9e-06,0,0,0,0,0,1,0
64,1,1,65,1.12,1.2,-2.27,-0.012,15.973,1.041,5.937,1.876,,0.9076598278532895,0.0,0,0,0,0,0,1,0
65,1,1,66,1.12,0.96,-3.772,-0.016,15.361,4.565,5.94,5.793,,2.5343106650097194,0.0,0,0,0,0,0,1,0
66,0,1,67,1.12,0.85,-2.874,0.635,17.809,0.0,4.466,2.892,-0.6551715030025589,1.5320675522890306,0.275625,0,0,0,0,0,1,0
67,1,1,68,1.12,0.64,-3.221,-0.116,12.873,1.21,5.664,4.968,,2.3126651735583943,0.16000000000000003,0,0,0,0,0,1,0
68,1,1,69,1.12,0.63,-2.501,0.268,13.405,0.0,5.669,3.492,-1.8996950942043145,1.804053558967353,9e-06,0,0,0,0,0,1,0
69,1,1,70,1.12,0.9,-3.693,0.001,15.939,4.608,5.993,5.419,-9.965784284662087,2.438026647123942,0.0,0,0,0,0,0,1,0
70,1,1,71,1.12,0.95,-3.094,0.099,15.548,0.0,5.937,-0.312,-3.3364276645824775,,0.04000000000000001,0,0,0,0,0,1,0
71,1,1,72,1.12,0.74,-2.416,0.033,12.54,0.0,5.587,0.739,-4.921390165303634,-0.4363537305159361,0.0,0,0,0,0,0,1,0
72,1,1,73,1.12,0.72,-3.365,0.069,14.751,0.0,5.84,5.242,-3.857259827883918,2.3901173536663305,1e-06,0,0,0,0,0,1,0
73,1,2,1,1.28,1.12,-1.674,0.283,15.943,0.0,6.008,-1.294,-1.8211260418302049,,0.0,0,0,0,0,0,1,0
74,0,2,2,1.28,0.95,0.351,0.576,12.997,0.0,4.02,-2.694,-0.7958592832197748,,,0,0,0,0,0,0,1
75,1,2,3,1.28,0.54,-1.51,0.235,9.898,0.0,5.094,-1.341,-2.089267338097087,,,0,0,0,0,0,0,1
76,3,2,4,1.28,0.46,-0.815,0.293,11.367,0.0,3.571,0.529,-1.7710274302398392,-0.9186603725480612,,0,0,0,0,1,0,0
77,0,2,5,1.28,0.93,0.286,0.539,13.242,0.0,4.046,-1.113,-0.8916428219095814,,,0,0,0,0,0,1,0
78,0,2,6,0.75,0.27,-0.35,1.074,8.138,0.0,3.439,-2.641,0.10299399332332565,,,0,0,1,0,0,0,0
79,1,2,7,1.28,1.35,-0.989,0.388,15.631,0.247,6.636,-6.975,-1.3658714424749594,,,0,0,0,0,0,0,1
80,0,2,8,1.28,0.45,-0.616,0.683,8.781,0.0,3.528,-3.058,-0.5500425163719964,,,0,0,0,0,0,0,1
81,2,2,9,1.28,0.76,-0.817,0.064,13.662,0.0,5.765,-0.062,-3.965784284662087,,,0,0,0,0,1,0,0
82,2,2,10,1.28,1.0,-0.975,0.435,14.204,0.0,5.884,-6.108,-1.2009126939259964,,,0,0,0,0,0,0,1
83,0,2,11,1.28,0.95,0.174,0.781,14.05,0.0,4.126,-4.143,-0.3566055465201077,,,0,0,0,0,0,0,1
84,1,2,12,1.28,0.94,-1.597,0.28,15.13,0.0,5.962,-3.253,-1.8365012677171204,,0.0,0,0,0,0,0,0,1
85,1,2,13,1.28,0.63,-0.481,0.258,10.146,0.0,5.208,,-1.9545570292388328,,2.5e-05,0,0,0,0,0,0,1
86,1,2,14,1.28,0.49,-1.236,0.15,10.545,0.0,5.357,0.037,-2.736965594166206,-4.756330919033138,0.14899600000000002,0,0,0,0,1,0,0
87,0,2,15,1.28,1.67,0.539,1.287,16.599,0.0,4.362,-1.803,0.36401205355861466,,,0,0,0,0,0,0,1
88,1,2,16,1.28,0.68,-0.224,0.23,10.222,0.0,5.066,-2.405,-2.1202942337177118,,,0,0,0,0,0,0,1
89,0,2,17,1.28,0.99,-1.334,0.704,16.23,0.0,4.329,-3.359,-0.5063526660247898,,0.0,0,0,0,0,0,0,1
90,0,2,18,1.28,0.89,-1.386,0.675,15.94,0.0,4.303,-3.225,-0.5670405927238937,,0.000529,0,0,0,0,0,0,1
91,1,2,19,1.28,1.06,-1.17,0.347,13.994,0.0,5.684,-4.981,-1.5269924320838262,,0.0010890000000000001,0,0,0,0,0,0,1
92,1,2,20,1.28,0.67,-0.817,0.142,10.78,0.0,5.451,,-2.816037165157405,,0.724201,0,0,0,0,0,0,1
93,1,2,21,1.28,0.62,-0.927,0.236,10.602,0.0,5.13,-2.518,-2.083141235300246,,,0,0,0,0,0,0,1
94,0,2,22,1.28,0.94,-1.281,0.728,16.72,0.0,4.373,-3.47,-0.4579896444633908,,0.0,0,0,0,0,0,0,1
95,1,2,23,1.28,0.63,-1.053,0.186,10.4,0.0,5.325,-0.267,-2.4266254735540556,,,0,0,0,0,0,0,1
96,1,2,24,1.28,0.71,-2.24,0.17,12.255,0.0,5.376,-0.054,-2.5563933485243853,,4e-06,0,0,0,0,0,0,1
97,0,2,25,1.28,1.11,0.409,0.703,14.36,0.0,4.156,-3.166,-0.5084034055895518,,,0,0,0,0,0,0,1
98,0,2,26,1.28,0.9,-1.362,0.688,15.995,0.0,4.308,-3.272,-0.5395195299599892,,0.0009,0,0,0,0,0,0,1
99,0,2,27,1.28,0.8,-0.391,0.643,14.198,0.0,4.141,-3.35,-0.6371093573341398,,,0,0,0,0,0,0,1
100,2,2,28,1.28,0.57,-0.591,0.154,11.313,0.0,5.367,1.233,-2.698997743967186,0.3021727997407521,4.9000000000000005e-05,0,0,0,0,1,0,0
101,0,2,29,1.28,1.38,1.006,1.761,16.199,0.0,4.327,-4.658,0.8163949091691212,,,0,0,0,0,0,0,1
102,1,2,30,1.28,1.03,-1.707,0.261,15.011,0.0,5.835,-2.616,-1.9378782880922025,,0.007921,0,0,0,0,0,0,1
103,0,2,31,1.28,0.76,0.105,0.926,9.602,0.0,3.635,-5.547,-0.11091590140185058,,,0,0,0,0,0,0,1
104,0,2,32,1.28,0.86,-1.528,0.565,15.37,0.0,4.252,-2.317,-0.8236772273595372,,0.16000000000000003,0,0,0,0,0,0,1
105,0,2,33,1.28,0.72,-0.609,0.694,11.551,0.0,3.865,-3.823,-0.5269924320838262,,,0,0,0,0,0,0,1
106,1,2,34,1.28,0.62,-1.013,0.151,10.451,0.0,5.328,-0.942,-2.7273795453370084,,0.355216,0,0,0,0,0,0,1
107,0,2,35,1.28,0.61,-1.548,0.182,11.963,0.0,3.911,4.381,-2.4579896444633906,2.1312602146608635,0.0,0,0,0,0,1,0,0
108,0,2,36,1.28,1.02,0.624,1.373,13.092,0.0,4.03,-9.782,0.4573316254850136,,,0,0,0,0,0,0,1
109,2,2,37,1.28,0.64,-2.009,0.043,12.263,1.269,5.611,4.672,-4.539519529959989,2.22404027421793,0.0,0,0,0,0,1,0,0
110,0,2,38,1.28,0.98,-1.152,0.827,17.662,0.0,4.453,-3.549,-0.2740407654908124,,0.000169,0,0,0,0,0,0,1
111,1,2,39,1.28,0.59,-0.377,0.232,10.196,0.0,5.118,-1.927,-2.1078032895345147,,3.6e-05,0,0,0,0,0,0,1
112,1,2,40,1.28,0.86,-2.246,0.086,14.282,1.698,5.694,1.048,-3.539519529959989,0.0676387168753633,0.16000000000000003,0,0,0,0,0,1,0
113,2,2,41,1.28,0.57,-0.801,0.18,11.258,0.0,5.379,3.043,-2.473931188332412,1.605494333852509,0.005929,0,0,0,0,0,1,0
114,2,2,42,1.28,0.91,-2.326,-0.361,14.961,2.571,6.043,4.367,,2.126642531118168,0.0,0,0,0,0,0,1,0
115,1,2,43,1.28,0.99,-0.668,0.106,13.353,0.0,5.484,-1.825,-3.237863830098888,,,0,0,0,0,0,0,1
116,1,2,44,1.28,0.75,-0.323,0.115,11.304,0.0,5.3,-1.906,-3.1202942337177118,,,0,0,0,0,0,0,1
117,0,2,45,1.28,0.97,-1.194,0.757,17.337,0.0,4.426,-3.507,-0.4016347946763554,,0.0006250000000000001,0,0,0,0,0,1,0
118,1,2,46,1.28,0.92,-1.624,0.276,14.835,0.0,5.914,-3.23,-1.8572598278839179,,1e-06,0,0,0,0,0,0,1
119,1,2,47,1.28,0.67,-0.389,0.162,11.472,0.0,5.39,-0.739,-2.6259342817774622,,0.034225,0,0,0,0,0,1,0
120,1,2,48,1.28,0.83,-2.016,0.046,14.166,0.997,5.67,0.281,-4.442222328605074,-1.8313579644411608,0.36,0,0,0,0,0,1,0
121,0,2,49,1.28,1.52,0.957,1.699,16.106,0.0,4.318,-12.398,0.7646858525221336,,,0,0,0,0,0,0,1
122,0,2,50,1.28,0.58,-1.22,0.301,11.768,0.0,3.889,4.367,-1.732164607902385,2.126642531118168,0.0,0,0,0,0,1,0,0
123,1,2,51,1.28,0.61,-0.541,0.188,11.041,0.0,5.357,0.287,-2.41119543298445,-1.8008773579863995,0.001444,0,0,0,0,0,0,1
124,2,2,52,1.28,0.57,-0.754,0.112,11.148,0.0,5.375,1.891,-3.158429362604483,0.9191493632876745,0.010000000000000002,0,0,0,0,1,0,0
125,1,2,53,1.28,0.6,-1.157,0.109,12.152,0.0,5.539,2.278,-3.1975999598851605,1.1877677470460248,,0,0,0,0,1,0,0
126,1,2,54,1.28,0.75,-1.781,0.235,11.772,0.0,5.276,-2.029,-2.089267338097087,,1e-06,0,0,0,0,0,0,1
127,3,2,55,1.28,0.4,-1.63,0.32,10.221,0.0,3.32,0.186,-1.6438561897747246,-2.4266254735540556,,0,0,0,0,0,0,1
128,0,2,56,1.28,0.96,-1.22,0.743,17.49,0.0,4.439,-3.43,-0.42856588412349084,,0.0029159999999999998,0,0,0,0,0,0,1
129,1,2,57,1.28,0.69,-1.126,0.152,12.255,0.0,5.392,-0.512,-2.7178567712185018,,,0,0,0,0,0,0,1
130,1,2,58,1.28,1.18,-1.047,0.354,14.274,0.0,6.337,-7.543,-1.4981787345790896,,,0,0,0,0,0,0,1
131,2,2,59,1.28,0.64,-2.247,0.018,12.114,2.03,5.584,5.586,-5.795859283219775,2.481815573617863,0.0,0,0,0,0,1,0,0
132,0,2,60,1.28,0.84,-1.177,0.716,16.469,0.0,4.351,-3.403,-0.4819685073978307,,1e-06,0,0,0,0,0,0,1
133,2,2,61,1.28,0.6,-1.141,0.172,11.35,0.0,5.442,3.523,-2.539519529959989,1.8168044748328767,9e-06,0,0,0,0,0,1,0
134,1,2,62,1.28,0.77,-0.835,0.14,12.872,0.0,5.62,1.213,-2.8365012677171206,0.2785795504584233,,0,0,0,0,0,0,1
135,0,2,63,1.28,0.94,-2.063,0.585,17.974,0.0,4.479,-0.696,-0.7734914701913203,,0.013225,0,0,0,0,0,0,1
136,1,2,64,1.28,0.71,-1.915,0.137,11.01,0.0,5.41,-0.16,-2.86775220170156,,3.6e-05,0,0,0,0,0,0,1
137,0,2,65,1.28,1.2,0.113,0.694,14.969,0.0,4.214,-3.625,-0.5269924320838262,,,0,0,0,0,0,0,1
138,0,2,66,1.28,0.96,-1.419,0.66,15.687,0.0,4.281,-3.122,-0.5994620704162712,,0.0,0,0,0,0,0,0,1
139,2,2,67,1.28,0.76,-2.513,-0.009,14.714,2.636,6.032,3.748,,1.9061209529971,0.04000000000000001,0,0,0,0,1,0,0
140,3,2,68,1.28,0.54,-1.582,0.125,11.419,0.341,3.684,1.832,-3.0,0.873419503434857,0.0,0,0,0,0,1,0,0
141,0,2,69,1.28,0.62,-1.675,0.281,12.02,0.0,3.917,5.198,-1.8313579644411608,2.3779566338101135,0.0,0,0,0,0,1,0,0
142,0,2,70,1.28,0.9,-1.373,0.643,16.597,0.0,4.362,-2.727,-0.6371093573341398,,0.16080100000000003,0,0,0,0,0,0,1
143,1,2,71,1.28,0.95,-1.234,0.281,12.637,0.0,5.8,-5.322,-1.8313579644411608,,,0,0,0,0,0,0,1
144,0,2,72,1.28,0.74,-0.13,0.642,11.449,0.0,3.854,-3.48,-0.6393547975397839,,,0,0,0,0,0,0,1
145,1,2,73,1.28,0.72,-2.099,0.187,12.568,0.0,5.398,-0.445,-2.4188898247744506,,0.0011560000000000001,0,0,0,0,0,0,1
146,1,3,1,0.54,1.12,-3.304,0.228,14.825,3.118,5.553,-5.958,-2.1328942704973453,,0.0,0,0,0,0,0,1,0
147,1,3,2,0.54,0.75,-1.543,0.203,11.015,0.0,4.913,-5.981,-2.3004483674769105,,,0,0,1,0,0,0,0
148,0,3,3,0.54,0.54,-2.079,1.186,9.258,0.0,3.591,-0.978,0.24610400988391656,,,0,0,1,0,0,0,0
149,0,3,4,0.54,0.58,-0.946,1.409,11.095,0.0,3.814,1.18,0.4946716116475496,0.2387868595871165,,0,0,1,0,0,0,0
150,0,3,5,0.54,0.93,-0.085,1.688,13.042,0.0,4.025,-0.897,0.755314904045098,,,0,0,0,0,0,1,0
151,0,3,6,0.54,0.27,-1.37,1.613,7.079,0.0,3.283,0.694,0.6897464384935557,-0.5269924320838262,,0,0,1,0,0,0,0
152,1,3,7,0.54,1.35,-2.722,0.217,15.338,0.369,5.405,-9.71,-2.204233052217608,,,0,0,0,0,0,0,1
153,0,3,8,0.54,0.45,-1.499,1.332,7.62,0.0,3.365,-4.029,0.41359408240917517,,,0,0,0,0,0,0,1
154,1,3,9,0.54,0.9,-2.132,0.257,13.078,1.156,5.494,-4.525,-1.960159735468209,,,0,0,0,0,0,0,1
155,1,3,10,0.54,1.0,-2.797,0.165,12.156,0.0,5.18,-9.223,-2.599462070416271,,,0,0,0,0,0,0,1
156,1,3,11,0.54,0.95,-1.93,0.197,11.712,0.211,5.236,-7.376,-2.3437324652057105,,,0,0,0,0,0,0,1
157,1,3,12,0.54,1.01,-3.19,0.289,13.608,2.937,5.557,-7.106,-1.7908586021614084,,0.0,0,0,1,0,0,0,0
158,0,3,13,0.54,0.61,-0.957,1.302,9.363,0.0,3.604,-1.991,0.3807294485035485,,2.5e-05,0,0,1,0,0,0,0
159,0,3,14,0.54,0.62,-1.534,1.339,10.504,0.0,3.745,-1.25,0.42115596066222344,,0.292681,0,0,1,0,0,0,0
160,0,3,15,0.54,1.67,0.425,2.668,17.34,0.0,4.426,-12.888,1.415758666522498,,,0,0,0,0,0,0,1
161,0,3,16,0.54,0.54,-0.668,1.286,9.652,0.0,3.641,-3.853,0.3628906426658603,,,0,0,1,0,0,0,0
162,2,3,17,0.54,0.91,-3.343,0.244,13.125,3.763,5.993,-6.424,-2.0350469470992008,,0.0,0,0,1,0,0,0,0
163,1,3,18,0.54,0.89,-3.36,0.242,11.774,3.077,5.328,-6.199,-2.0469210473874924,,0.0,0,0,1,0,0,0,0
164,1,3,19,0.54,0.95,-2.925,0.18,12.765,0.226,5.134,-8.901,-2.473931188332412,,0.0,0,0,1,0,0,0,0
165,0,3,20,0.54,0.65,-1.125,1.332,10.496,0.0,3.744,-2.445,0.41359408240917517,,0.727609,0,0,1,0,0,0,0
166,0,3,21,0.54,0.62,-1.246,1.437,10.465,0.0,3.74,-3.306,0.5230600617952494,,,0,0,1,0,0,0,0
167,2,3,22,0.54,0.94,-3.316,0.253,13.622,3.807,6.086,-6.621,-1.9827907099677768,,0.0,0,0,1,0,0,0,0
168,0,3,23,0.54,0.63,-1.324,1.168,10.214,0.0,3.71,0.597,0.2240402742179301,-0.7441971633972821,,0,0,0,0,0,0,1
169,0,3,24,0.54,0.71,-2.376,1.031,13.345,0.0,4.056,-0.122,0.04404433270602121,,0.0,0,0,1,0,0,0,0
171,2,3,26,0.54,0.9,-3.357,0.238,12.949,3.715,5.966,-6.308,-2.0709665213541437,,0.0,0,0,1,0,0,0,0
172,1,3,27,0.54,0.8,-2.354,0.201,11.102,1.524,5.22,-5.702,-2.3147325934831584,,,0,0,1,0,0,0,0
173,0,3,28,0.54,0.68,-0.63,1.482,11.877,0.0,3.901,0.139,0.5675454476437467,-2.8468432119385794,0.002116,0,0,1,0,0,0,0
174,1,3,29,0.54,1.38,-1.982,0.285,14.152,2.012,5.624,-16.374,-1.810966175609983,,,0,0,0,0,0,0,1
175,1,3,30,0.54,1.03,-3.335,0.226,13.793,3.69,5.461,-6.662,-2.145605322246899,,0.0,0,0,1,0,0,0,0
176,0,3,31,0.54,0.76,-0.683,1.686,8.215,0.0,3.45,-6.246,0.7536045362799952,,,0,0,0,0,0,0,1
177,2,3,32,0.54,0.86,-3.397,0.225,12.134,3.815,5.786,-5.759,-2.15200309344505,,0.0,0,0,1,0,0,0,0
178,0,3,33,0.54,0.72,-1.168,1.691,10.399,0.0,3.732,-5.359,0.7578766597478963,,,0,0,0,0,0,0,1
179,0,3,34,0.54,0.65,-1.359,1.282,10.42,0.0,3.735,-2.158,0.358396261956654,,0.4760999999999999,0,0,1,0,0,0,0
180,0,3,35,0.54,0.69,-1.574,1.028,12.186,0.0,3.935,3.998,0.0398402645317911,1.9992784720825407,0.0,0,0,1,0,0,0,0
181,1,3,36,0.54,1.02,-1.971,0.321,11.427,2.09,5.461,-11.819,-1.639354797539784,,,0,0,0,0,0,0,1
182,0,3,37,0.54,0.72,-1.999,0.882,13.005,0.0,4.021,4.777,-0.18114943910456646,2.2561048768091787,1e-06,0,0,1,0,0,0,0
183,1,3,38,0.54,0.98,-3.233,0.28,13.108,3.042,5.495,-7.031,-1.8365012677171204,,0.0,0,0,1,0,0,0,0
184,0,3,39,0.54,0.6,-0.821,1.308,9.43,0.0,3.613,-3.057,0.38736254083599553,,0.031328999999999996,0,0,1,0,0,0,0
185,1,3,40,0.54,0.86,-3.234,0.268,13.507,1.468,5.448,-1.407,-1.8996950942043145,,0.6400000000000001,0,0,0,0,0,1,0
186,0,3,41,0.54,0.57,-0.857,1.298,11.825,0.0,3.896,1.9,0.3762903833370515,0.925999418556223,0.0,0,0,0,0,0,1,0
